"","country","year","importValue","politicalStability","governmentEffectiveness","ruleOfLaw"
"124","australia",2010,"113453358",1.44347381591797,0.871391117572784,1.6917941570282
"125","austria",1996,"22715213",1.48884570598602,1.33112716674805,1.57364571094513
"126","austria",1998,"20489164",1.38481521606445,1.06969809532166,1.33804714679718
"127","austria",2000,"17413441",1.33977591991425,0.79394793510437,1.49373483657837
"128","austria",2002,"19081941",1.30324161052704,1.28321623802185,1.56484150886536
"129","austria",2003,"19027452",1.2856730222702,0.948746204376221,1.54326844215393
"130","austria",2004,"21629324",1.45512843132019,1.07458031177521,1.54474437236786
"131","austria",2005,"20632178",1.35419034957886,1.10467648506165,1.61836373806
"132","austria",2006,"18194168",1.41230487823486,1.07921421527863,1.65400099754333
"133","austria",2007,"25679096",1.4048467874527,1.27842462062836,1.7047164440155
"134","austria",2008,"27034049",1.39684009552002,1.33985447883606,1.60676515102386
"135","austria",2009,"24218251",1.41851925849915,1.16598844528198,1.4648699760437
"136","austria",2010,"35762177",1.46587014198303,1.12372100353241,1.46625983715057
"137","azerbaijan",1996,"75564",-1.12470281124115,-0.916575789451599,-1.09706032276154
"138","azerbaijan",1998,"33593",-1.00277769565582,-0.82908684015274,-0.947893738746643
"139","azerbaijan",2000,"24740",-0.854855239391327,-0.92818409204483,-0.909353375434875
"140","azerbaijan",2002,"39248",-0.950813949108124,-1.29402494430542,-0.719598054885864
"141","azerbaijan",2003,"72060",-1.0613329410553,-1.0049352645874,-0.596360206604004
"142","azerbaijan",2004,"271490",-1.04436254501343,-1.08661150932312,-0.587756991386414
"143","azerbaijan",2005,"155844",-1.08231163024902,-1.11490750312805,-0.548760712146759
"144","azerbaijan",2006,"216628",-1.22044467926025,-1.0848388671875,-0.49545094370842
"145","azerbaijan",2007,"480288",-1.17615878582001,-0.646004140377045,-0.440990298986435
"146","azerbaijan",2008,"677921",-1.27822422981262,-0.330871760845184,-0.348685771226883
"147","azerbaijan",2009,"753474",-1.21050214767456,-0.294726133346558,-0.298796206712723
