"","country","years","gdps"
"260","el salvador","2000","13134100000"
"261","uruguay","2012","50004354666.9539"
"262","uruguay","2011","47236710623.1139"
"263","uruguay","2010","38881102074.9532"
"264","uruguay","2009","30461322555.1438"
"265","uruguay","2008","30366148205.2651"
"266","uruguay","2007","23410536913.7565"
"267","uruguay","2006","19579479147.1959"
"268","uruguay","2005","17362872709.7496"
"269","uruguay","2004","13686333821.7864"
"270","uruguay","2003","12045627411.0182"
"271","uruguay","2002","13606494599.021"
"272","uruguay","2001","20898788420.0932"
"273","uruguay","2000","22823255805.9664"
